Takt/Zug|Zugnummer|Zugname|Zugtyp|Aktiv|Gruppenbearbeitung|Besteller|Betreiber|Traktionist|Klasse|Zugcharakteristik|Start (Kürzel)|Start|Ziel (Kürzel)|Ziel|Abfahrt|Plan-Ankunft|Real-Ankunft|Von Zug|Auf Zug|Baubetriebsstatus|Statusbezeichnung|VT|Gültig von|Gültig bis|Berechnet|Simulation|Gefiltert|Fehler
|||||N|||||||||||||||||||||||
\EXPRESS-D|||||N|||||||||||||||||||||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz"|||||N|||||||||||||||||||||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Flügel 1: Göttingen - Gößnitz - Chemnitz Hbf"|||||N|||||||||||||||||||||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Flügel 1: Göttingen - Gößnitz - Chemnitz Hbf\hin"|||||N|||||||||||||||||||||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Flügel 1: Göttingen - Gößnitz - Chemnitz Hbf\hin\RE Diesel kurz 160100"|160100|160100|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HG|Göttingen|HEBGO|Eichenberg Ostk|05:01:35|05:15:00|05:15:00|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Flügel 1: Göttingen - Gößnitz - Chemnitz Hbf\hin\RE Diesel kurz 160102"|160102|160102|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HG|Göttingen|HEBGO|Eichenberg Ostk|07:01:35|07:15:00|07:15:00|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Flügel 1: Göttingen - Gößnitz - Chemnitz Hbf\hin\RE Diesel kurz 160104"|160104|160104|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HG|Göttingen|HEBGO|Eichenberg Ostk|09:01:35|09:15:00|09:15:00|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Flügel 1: Göttingen - Gößnitz - Chemnitz Hbf\hin\RE Diesel kurz 160106"|160106|160106|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HG|Göttingen|HEBGO|Eichenberg Ostk|11:01:35|11:15:00|11:15:00|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Flügel 1: Göttingen - Gößnitz - Chemnitz Hbf\hin\RE Diesel kurz 160108"|160108|160108|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HG|Göttingen|HEBGO|Eichenberg Ostk|13:01:35|13:15:00|13:15:00|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Flügel 1: Göttingen - Gößnitz - Chemnitz Hbf\hin\RE Diesel kurz 160110"|160110|160110|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HG|Göttingen|HEBGO|Eichenberg Ostk|15:01:35|15:15:00|15:15:00|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Flügel 1: Göttingen - Gößnitz - Chemnitz Hbf\hin\RE Diesel kurz 160112"|160112|160112|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HG|Göttingen|HEBGO|Eichenberg Ostk|17:01:35|17:15:00|17:15:00|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Flügel 1: Göttingen - Gößnitz - Chemnitz Hbf\hin\RE Diesel kurz 160114"|160114|160114|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HG|Göttingen|HEBGO|Eichenberg Ostk|19:01:35|19:15:00|19:15:00|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Flügel 1: Göttingen - Gößnitz - Chemnitz Hbf\rück"|||||N|||||||||||||||||||||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Flügel 1: Göttingen - Gößnitz - Chemnitz Hbf\rück\RE Diesel kurz 160101"|160101|160101|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HEBGO|Eichenberg Ostk|HG|Göttingen|08:45:07|08:58:25|08:58:38|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Flügel 1: Göttingen - Gößnitz - Chemnitz Hbf\rück\RE Diesel kurz 160103"|160103|160103|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HEBGO|Eichenberg Ostk|HG|Göttingen|10:45:07|10:58:25|10:58:38|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Flügel 1: Göttingen - Gößnitz - Chemnitz Hbf\rück\RE Diesel kurz 160105"|160105|160105|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HEBGO|Eichenberg Ostk|HG|Göttingen|12:45:07|12:58:25|12:58:38|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Flügel 1: Göttingen - Gößnitz - Chemnitz Hbf\rück\RE Diesel kurz 160107"|160107|160107|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HEBGO|Eichenberg Ostk|HG|Göttingen|14:45:07|14:58:25|14:58:38|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
"\EXPRESS-D\E01 Göttingen - Erfurt Hbf - Gera - Zwickau Hbf, Chemnitz Hbf | Flügelung: Gößnitz\Flügel 1: Göttingen - Gößnitz - Chemnitz Hbf\rück\RE Diesel kurz 160109"|160109|160109|R|aktiv|N||||NRz|RE - diesel - kurz/RE Diesel kurz|HEBGO|Eichenberg Ostk|HG|Göttingen|16:45:07|16:58:25|16:58:38|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
